Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
360000,1.4097987,0.023891918,999.0,0.0,0.0,1.0
370000,1.4081644,0.022105318,999.0,0.10618465476565891,0.10618465476565891,1.0
380000,1.4080179,0.021938017,999.0,0.0,0.0,1.0
390000,1.4073735,0.021287518,999.0,0.36284640431404114,0.36284640431404114,1.0
400000,1.4074099,0.020272112,999.0,0.0,0.0,1.0
410000,1.4079494,0.021746924,999.0,0.0,0.0,1.0
420000,1.4079494,0.022619106,999.0,0.07742353715002537,0.07742353715002537,1.0
430000,1.4089167,0.029733755,999.0,0.6627071276307106,0.6627071276307106,1.0
440000,1.4089335,0.02963278,999.0,0.5037282978494962,0.5037282978494962,1.0
450000,1.409692,0.027986959,999.0,-2.411885446972317,-2.411885446972317,1.0
460000,1.4097956,0.022951653,999.0,0.13075270014815032,0.13075270014815032,1.0
470000,1.4103625,0.016317172,999.0,0.0,0.0,1.0
480000,1.4105276,0.011843086,999.0,0.6139640053113301,0.6139640053113301,1.0
490000,1.4107422,0.024632765,999.0,0.2512619346380234,0.2512619346380234,1.0
500000,1.4108392,0.027496386,999.0,0.6063588708639145,0.6063588708639145,1.0
510000,1.4097412,0.021227775,999.0,0.4457425344735384,0.4457425344735384,1.0
520000,1.4089776,0.026725922,999.0,0.7870400806268056,0.7870400806268056,1.0
530000,1.4082102,0.041503035,999.0,1.3901046911875408,1.3901046911875408,1.0
540000,1.4073569,0.041774906,999.0,1.0778798004612327,1.0778798004612327,1.0
550000,1.4065994,0.054273304,999.0,1.1334335054270923,1.1334335054270923,1.0
560000,1.4053954,0.06825118,999.0,2.1972500905394554,2.1972500905394554,1.0
570000,1.4049901,0.062284864,999.0,1.2731218205557928,1.2731218205557928,1.0
580000,1.4038798,0.09045285,999.0,4.007996950298548,4.007996950298548,1.0
590000,1.4034636,0.091517486,999.0,3.808356249704957,3.808356249704957,1.0
600000,1.4016241,0.15025361,999.0,4.265448018660148,4.265448018660148,1.0
610000,1.4014279,0.14067891,999.0,5.342899200816949,5.342899200816949,1.0
620000,1.3992537,0.21180658,999.0,4.371410531457514,4.371410531457514,1.0
630000,1.3992537,0.21936148,999.0,5.016922110226005,5.016922110226005,1.0
640000,1.3959,0.23254272,999.0,4.343407675127188,4.343407675127188,1.0
